Current sim time, airport, event name, airplane id, runway queue size, gate queue size, baggage cart queue size, fuel truck queue size
199.783886, Airport4, AcquireRunwayTakeoff, 2.4, 0, 3, 1, 0, 
200.011142, Airport4, StartClean, 1.2, 1, 3, 1, 0, 
201.192621, Airport4, Taxi2Gate, 1.5, 1, 3, 1, 0, 
201.192621, Airport4, Takeoff, 2.4, 0, 3, 1, 0, 
202.422337, Airport4, StartClean, 2.6, 0, 3, 1, 0, 
203.952575, Airport4, Leave, 1.1, 0, 3, 1, 0, 
204.480242, Airport4, LoadLuggage, 2.3, 0, 3, 1, 0, 
204.951311, Airport4, AcquireGate, 1.5, 0, 3, 1, 0, 
207.700350, Airport4, LoadLuggage, 1.2, 0, 4, 1, 0, 
208.442248, Airport4, Leave, 2.4, 0, 4, 1, 0, 
209.881200, Airport4, StartEmbark, 1.2, 0, 4, 1, 0, 
212.122801, Airport4, ReleaseFuelTruck, 1.2, 0, 4, 1, 0, 
212.122801, Airport4, LeaveGate, 1.2, 0, 4, 1, 0, 
212.554507, Airport4, StartEmbark, 2.6, 0, 4, 1, 0, 
215.559598, Airport4, ReleaseFuelTruck, 2.6, 0, 4, 1, 0, 
215.559598, Airport4, LeaveGate, 2.6, 0, 4, 1, 0, 
220.270822, Airport4, ReleaseLuggageCart, 2.3, 0, 4, 1, 0, 
220.270822, Airport4, UnloadLuggage, 2.6, 0, 4, 0, 0, 
220.270822, Airport4, LeaveGate, 2.3, 0, 4, 0, 0, 
220.270822, Airport4, DockAtGate, 3.7, 0, 3, 0, 0, 
222.050070, Airport4, Taxi2RunwayEA, 2.3, 0, 3, 0, 0, 
222.228420, Airport4, ArriveGate, 3.7, 0, 3, 0, 0, 
222.228420, Airport4, FuelPlane, 3.7, 0, 3, 1, 0, 
223.274189, Airport4, LeaveGate, 1.2, 0, 3, 1, 0, 
223.578656, Airport4, ReleaseLuggageCart, 1.2, 0, 3, 1, 0, 
223.578656, Airport4, UnloadLuggage, 3.7, 0, 3, 0, 0, 
223.578656, Airport4, LeaveGate, 1.2, 0, 3, 0, 0, 
223.578656, Airport4, DockAtGate, 3.8, 0, 2, 0, 0, 
225.465887, Airport4, ArriveGate, 3.8, 0, 2, 0, 0, 
225.465887, Airport4, FuelPlane, 3.8, 0, 2, 1, 0, 
225.741224, Airport4, LeaveGate, 2.6, 0, 2, 1, 0, 
226.069120, Airport4, Taxi2RunwayEA, 1.2, 0, 2, 1, 0, 
226.627140, Airport4, AcquireRunwayTakeoff, 2.3, 0, 2, 1, 0, 
226.627140, Airport4, Takeoff, 2.3, 0, 2, 1, 0, 
229.372482, Airport4, StartClean, 3.7, 0, 2, 1, 0, 
230.113930, Airport4, AcquireRunwayTakeoff, 1.2, 0, 2, 1, 0, 
230.113930, Airport4, Takeoff, 1.2, 0, 2, 1, 0, 
232.967243, Airport4, StartClean, 3.8, 0, 2, 1, 0, 
233.156562, Airport4, Leave, 2.3, 0, 2, 1, 0, 
234.141935, Airport4, LoadLuggage, 2.6, 0, 2, 1, 0, 
237.043547, Airport4, LoadLuggage, 3.7, 0, 2, 1, 0, 
237.794321, Airport4, Leave, 1.2, 0, 2, 1, 0, 
238.177095, Airport4, AcquireRunwayLand, 4.4, 0, 2, 1, 0, 
238.177095, Airport4, Land, 4.4, 0, 2, 1, 0, 
239.004736, Airport4, StartEmbark, 3.7, 0, 2, 1, 0, 
241.216972, Airport4, ReleaseFuelTruck, 3.7, 0, 2, 1, 0, 
241.216972, Airport4, LeaveGate, 3.7, 0, 2, 1, 0, 
241.997311, Airport4, AcquireRunwayLand, 1.3, 0, 2, 1, 0, 
241.997311, Airport4, Land, 1.3, 0, 2, 1, 0, 
243.153454, Airport4, Taxi2Gate, 4.4, 0, 2, 1, 0, 
243.826601, Airport4, StartEmbark, 3.8, 0, 2, 1, 0, 
244.315429, Airport4, ReleaseFuelTruck, 3.8, 0, 2, 1, 0, 
244.315429, Airport4, LeaveGate, 3.8, 0, 2, 1, 0, 
246.189409, Airport4, Taxi2Gate, 1.3, 0, 2, 1, 0, 
247.706650, Airport4, AcquireGate, 4.4, 0, 2, 1, 0, 
249.323707, Airport4, ReleaseLuggageCart, 2.6, 0, 3, 1, 0, 
